158.247.222.168:443#KR [韩国]
167.71.203.125:443#SG [新加坡]
43.160.220.86:443#SG [新加坡]
45.87.92.220:443#SG [新加坡]
142.249.60.51:443#TW [台湾]
140.235.38.78:443#TW [台湾]
220.135.105.32:2087#TW [台湾]
45.143.129.146:443#US [美国]
38.148.253.120:443#US [美国]
45.144.136.19:8443#US [美国]
144.31.243.69:443#LT [立陶宛]
185.34.52.147:443#LT [立陶宛]
45.38.139.23:8443#LV [拉脱维亚]
216.173.68.133:2087#LV [拉脱维亚]
93.185.165.175:8443#MD [摩尔多瓦]
85.121.176.226:443#MD [摩尔多瓦]
89.185.82.188:443#MK [北马其顿]
45.202.247.198:443#MO [澳门]
45.202.247.198:8443#MO [澳门]
216.238.79.83:8443#MX [墨西哥]
216.238.72.72:443#MX [墨西哥]
149.118.144.163:443#MY [马来西亚]
166.88.194.248:443#MY [马来西亚]
102.130.48.155:2053#NG [优选高速]
195.133.92.74:443#PT [葡萄牙]
195.133.92.20:443#PT [葡萄牙]
72.56.34.110:443#RU [俄罗斯]
82.148.28.182:443#RU [俄罗斯]
130.94.58.215:8443#SA [优选高速]
130.94.58.215:443#SA [优选高速]
67.221.249.24:443#SI [斯洛文尼亚]
45.150.131.246:443#TH [泰国]
8.213.199.128:443#TH [泰国]
91.218.212.223:443#UA [乌克兰]
213.111.148.137:443#UA [乌克兰]
