91.110.209.73:443#HK [Avg 49.1ms | 5.36Mbps]
91.110.182.12:443#HK [Avg 48.4ms | 5.35Mbps]
91.110.209.65:443#HK [Avg 48.34ms | 5.22Mbps]
91.110.209.61:443#HK [Avg 48.11ms | 5.15Mbps]
91.110.209.85:443#HK [Avg 46.91ms | 4.97Mbps]
91.110.209.70:443#HK [Avg 45.28ms | 4.92Mbps]
91.110.209.67:443#HK [Avg 44.47ms | 4.91Mbps]
91.110.209.83:443#HK [Avg 46.73ms | 4.91Mbps]
91.110.209.74:443#HK [Avg 43.7ms | 4.9Mbps]
91.110.209.51:443#HK [Avg 47.62ms | 4.86Mbps]
91.110.209.80:443#HK [Avg 43.54ms | 4.84Mbps]
91.110.209.58:443#HK [Avg 52.5ms | 4.79Mbps]
91.110.209.75:443#HK [Avg 46.27ms | 4.78Mbps]
91.110.209.81:443#HK [Avg 46.42ms | 4.76Mbps]
91.110.182.6:443#HK [Avg 45.91ms | 4.74Mbps]
43.254.164.50:8443#HK [Avg 56.22ms | 4.72Mbps]
91.110.209.49:443#HK [Avg 50.52ms | 4.69Mbps]
91.110.209.46:443#HK [Avg 46.03ms | 4.64Mbps]
154.3.32.164:8443#HK [Avg 49.81ms | 4.62Mbps]
91.110.182.9:443#HK [Avg 51.67ms | 4.6Mbps]
2.27.109.236:443#HK [Avg 49.46ms | 4.59Mbps]
206.237.0.11:8443#HK [Avg 51.86ms | 4.58Mbps]
209.33.166.199:443#HK [Avg 54.4ms | 4.43Mbps]
2.27.109.62:443#HK [Avg 49.98ms | 4.33Mbps]
2.27.109.35:443#HK [Avg 50.73ms | 0.0Mbps]
139.84.139.219:443#IN [Avg 226.62ms | 5.23Mbps]
64.227.146.37:443#IN [Avg 703.1ms | 5.01Mbps]
13.235.254.54:443#IN [Avg 222.14ms | 4.98Mbps]
4.240.110.47:443#IN [Avg 677.5ms | 4.98Mbps]
134.209.148.128:443#IN [Avg 178.15ms | 4.97Mbps]
64.227.174.213:2053#IN [Avg 700.74ms | 4.93Mbps]
64.227.174.213:8443#IN [Avg 485.91ms | 4.85Mbps]
65.20.85.14:443#IN [Avg 536.36ms | 4.83Mbps]
103.181.177.88:443#IN [Avg 242.66ms | 4.8Mbps]
65.20.88.116:443#IN [Avg 249.23ms | 4.79Mbps]
142.93.209.210:443#IN [Avg 120.63ms | 4.78Mbps]
139.59.18.152:443#IN [Avg 165.72ms | 4.78Mbps]
157.20.27.35:443#IN [Avg 144.17ms | 4.73Mbps]
52.66.200.252:443#IN [Avg 162.49ms | 4.72Mbps]
151.241.5.88:443#JP [日本] [Avg 92.44ms | 42.01Mbps]
93.93.246.12:443#JP [日本] [Avg 98.18ms | 40.17Mbps]
45.32.16.36:443#JP [日本] [Avg 92.34ms | 24.2Mbps]
23.249.17.25:443#JP [日本] [Avg 101.63ms | 23.94Mbps]
85.113.70.10:443#JP [日本] [Avg 92.42ms | 23.34Mbps]
38.207.130.136:443#JP [日本] [Avg 95.23ms | 23.27Mbps]
47.245.62.50:443#JP [日本] [Avg 81.63ms | 20.57Mbps]
207.148.99.230:443#JP [日本] [Avg 83.33ms | 20.41Mbps]
216.23.86.105:8443#JP [日本] [Avg 87.69ms | 17.6Mbps]
212.135.215.5:443#JP [日本] [Avg 77.35ms | 17.5Mbps]
8.219.195.31:443#JP [Avg 87.06ms | 7.78Mbps]
154.83.91.206:443#JP [Avg 70.61ms | 5.39Mbps]
172.238.22.36:8443#JP [Avg 65.73ms | 5.06Mbps]
207.65.189.9:443#JP [Avg 68.56ms | 5.03Mbps]
172.104.120.92:443#JP [Avg 64.81ms | 4.86Mbps]
172.104.80.248:443#JP [Avg 56.3ms | 4.73Mbps]
153.121.32.71:443#JP [Avg 55.23ms | 4.59Mbps]
164.70.117.150:8443#JP [Avg 106.75ms | 4.49Mbps]
172.237.5.208:2053#JP [Avg 52.73ms | 0.0Mbps]
35.75.183.41:443#JP [Avg 54.4ms | 0.0Mbps]
172.104.81.253:443#JP [Avg 58.28ms | 0.0Mbps]
43.133.1.62:443#JP [Avg 66.66ms | 0.0Mbps]
45.129.8.76:443#JP [Avg 102.02ms | 0.0Mbps]
138.2.31.37:443#JP [Avg 102.2ms | 0.0Mbps]
172.233.64.181:8443#JP [Avg 108.16ms | 0.0Mbps]
64.110.70.64:443#KR [韩国] [Avg 110.01ms | 32.63Mbps]
141.164.42.2:443#KR [韩国] [Avg 143.05ms | 26.88Mbps]
131.186.25.156:2087#KR [韩国] [Avg 178.6ms | 26.5Mbps]
85.155.176.11:8443#KR [Avg 91.22ms | 6.37Mbps]
43.133.232.228:8443#KR [Avg 48.41ms | 6.36Mbps]
43.133.237.158:8443#KR [Avg 48.4ms | 4.96Mbps]
123.111.169.70:2083#KR [Avg 150.75ms | 4.78Mbps]
123.111.169.70:2087#KR [Avg 150.43ms | 4.75Mbps]
123.111.169.70:443#KR [Avg 149.99ms | 4.67Mbps]
123.111.169.70:2053#KR [Avg 146.98ms | 4.59Mbps]
123.111.169.70:8443#KR [Avg 175.61ms | 4.57Mbps]
146.56.188.74:443#KR [Avg 173.26ms | 4.56Mbps]
123.111.169.70:2096#KR [Avg 146.38ms | 0.0Mbps]
132.145.91.181:8443#KR [Avg 174.57ms | 0.0Mbps]
144.24.73.232:443#KR [Avg 181.27ms | 0.0Mbps]
144.24.68.111:443#KR [Avg 223.6ms | 0.0Mbps]
152.70.254.197:443#KR [Avg 225.11ms | 0.0Mbps]
146.56.187.1:8443#KR [Avg 230.19ms | 0.0Mbps]
140.238.17.157:443#KR [Avg 260.81ms | 0.0Mbps]
85.155.176.13:8443#KR [Avg 432.76ms | 0.0Mbps]
43.155.221.27:8443#KR [Avg 722.62ms | 0.0Mbps]
178.128.86.3:443#SG [新加坡] [Avg 82.8ms | 27.7Mbps]
209.97.163.209:443#SG [Avg 85.76ms | 5.05Mbps]
168.144.96.147:443#SG [Avg 84.64ms | 4.89Mbps]
143.198.213.81:443#SG [Avg 98.55ms | 4.79Mbps]
168.144.129.207:8443#SG [Avg 95.51ms | 4.73Mbps]
152.42.199.134:443#SG [Avg 93.52ms | 4.62Mbps]
152.42.246.237:443#SG [Avg 91.28ms | 4.55Mbps]
157.230.255.59:443#SG [Avg 83.81ms | 0.0Mbps]
157.230.41.10:443#SG [Avg 83.92ms | 0.0Mbps]
43.160.246.223:8443#SG [Avg 84.17ms | 0.0Mbps]
206.189.95.91:443#SG [Avg 84.53ms | 0.0Mbps]
152.42.217.192:443#SG [Avg 84.59ms | 0.0Mbps]
174.138.20.108:443#SG [Avg 86.1ms | 0.0Mbps]
178.128.19.168:443#SG [Avg 86.28ms | 0.0Mbps]
152.42.198.52:8443#SG [Avg 87.38ms | 0.0Mbps]
45.92.158.56:443#SG [Avg 87.88ms | 0.0Mbps]
152.42.247.235:443#SG [Avg 88.04ms | 0.0Mbps]
172.236.154.50:443#SG [Avg 89.67ms | 0.0Mbps]
64.56.71.64:8443#SG [Avg 89.8ms | 0.0Mbps]
168.144.44.84:443#SG [Avg 89.81ms | 0.0Mbps]
167.71.222.177:443#SG [Avg 90.5ms | 0.0Mbps]
152.42.228.178:443#SG [Avg 90.97ms | 0.0Mbps]
152.42.174.66:443#SG [Avg 92.46ms | 0.0Mbps]
168.144.109.68:443#SG [Avg 93.27ms | 0.0Mbps]
167.71.199.136:443#SG [Avg 94.21ms | 0.0Mbps]
223.165.4.57:443#TW [Avg 216.54ms | 5.07Mbps]
188.253.6.173:443#TW [Avg 205.42ms | 5.0Mbps]
82.152.91.210:443#TW [Avg 143.13ms | 4.76Mbps]
188.253.6.136:443#TW [Avg 204.87ms | 0.0Mbps]
188.253.6.209:443#TW [Avg 339.64ms | 0.0Mbps]
154.17.2.245:443#US [Avg 150.81ms | 4.94Mbps]
38.162.115.250:2053#US [Avg 148.18ms | 4.75Mbps]
69.63.214.235:8443#US [Avg 150.83ms | 4.75Mbps]
38.60.89.231:8443#US [Avg 149.82ms | 4.72Mbps]
154.17.4.159:2053#US [Avg 147.5ms | 4.71Mbps]
154.17.16.219:8443#US [Avg 148.25ms | 4.68Mbps]
47.57.181.17:443#US [Avg 46.08ms | 0.0Mbps]
208.68.180.209:443#US [Avg 151.2ms | 0.0Mbps]
154.21.88.234:8443#US [Avg 151.49ms | 0.0Mbps]
188.255.156.143:443#US [Avg 151.74ms | 0.0Mbps]
64.186.240.9:8443#US [Avg 152.53ms | 0.0Mbps]
64.186.230.249:443#US [Avg 153.77ms | 0.0Mbps]
154.23.163.105:443#US [Avg 153.95ms | 0.0Mbps]
20.120.129.200:443#US [Avg 160.34ms | 0.0Mbps]
98.158.29.76:443#US [Avg 177.05ms | 0.0Mbps]
192.220.28.221:2083#US [Avg 179.08ms | 0.0Mbps]
38.97.249.166:8443#US [Avg 179.65ms | 0.0Mbps]
192.204.58.167:8443#US [Avg 183.82ms | 0.0Mbps]
45.32.79.105:443#US [Avg 184.55ms | 0.0Mbps]
45.63.51.177:8443#US [Avg 184.6ms | 0.0Mbps]
38.244.31.27:443#US [Avg 185.7ms | 0.0Mbps]
45.76.74.25:443#US [Avg 186.23ms | 0.0Mbps]
45.76.76.222:8443#US [Avg 186.36ms | 0.0Mbps]
45.76.169.250:443#US [Avg 187.07ms | 0.0Mbps]
45.77.68.148:443#US [Avg 187.42ms | 0.0Mbps]
84.235.245.65:2096#AE [Avg 233.91ms | 9.7Mbps]
84.235.250.237:443#AE [Avg 276.66ms | 9.64Mbps]
176.97.66.175:443#AE [Avg 191.72ms | 9.6Mbps]
20.174.15.226:443#AE [Avg 180.39ms | 9.59Mbps]
31.130.149.210:443#AE [Avg 272.95ms | 9.56Mbps]
188.208.110.30:443#AE [Avg 206.6ms | 9.52Mbps]
193.123.74.174:8443#AE [Avg 171.96ms | 9.47Mbps]
188.208.110.35:2096#AE [Avg 193.33ms | 9.34Mbps]
172.86.77.145:443#AE [Avg 1401.52ms | 4.75Mbps]
172.86.77.98:443#AE [Avg 903.86ms | 4.74Mbps]
144.172.88.34:443#AE [Avg 451.63ms | 4.73Mbps]
172.86.77.169:443#AE [Avg 387.93ms | 4.72Mbps]
109.61.42.37:443#AE [Avg 302.22ms | 4.71Mbps]
90.156.220.194:2053#AE [Avg 352.04ms | 4.71Mbps]
176.97.78.80:8443#AE [Avg 618.5ms | 3.88Mbps]
130.49.189.89:443#AL [Avg 388.09ms | 4.84Mbps]
103.167.235.79:443#AL [Avg 370.73ms | 4.46Mbps]
91.195.254.34:443#AM [Avg 255.49ms | 4.84Mbps]
2.56.204.183:443#AM [Avg 751.55ms | 4.83Mbps]
152.53.101.146:443#AT [Avg 259.06ms | 6.28Mbps]
152.53.100.177:443#AT [Avg 258.0ms | 5.3Mbps]
132.243.203.193:8443#AT [Avg 347.89ms | 5.18Mbps]
132.243.245.135:443#AT [Avg 344.05ms | 4.97Mbps]
46.102.157.145:8443#AT [Avg 343.45ms | 4.96Mbps]
152.53.19.75:443#AT [Avg 270.3ms | 4.95Mbps]
132.243.245.184:443#AT [Avg 340.96ms | 4.95Mbps]
94.177.8.78:2053#AT [Avg 335.7ms | 4.89Mbps]
